"legacy_element","proposal","reason","trade_off","rediscovery_ref"
"JSP pages with scriptlets and direct SQL (e.g. reports.jsp, hours.jsp)","replace-with-platform","Presentation, DB access and business logic mixed in JSP scriptlets — hard to test and maintain.","Large migration effort; UI redesign and routing changes; potential short-term regressions.","[rediscovery.md](rediscovery.md) - Business Rules & Integration Inventory: JSPs and direct DB access"
"Direct JDBC inside JSPs (hard-coded dbUrl in reports.jsp)","replace-with-library","Bypasses app datasource management and duplicates connection logic; security and maintainability risk.","Moderate refactor to move SQL into DAOs/services; immediate improvement in testability.","[rediscovery.md](rediscovery.md) - Integration Inventory: Embedded Derby and JSP direct access"
"Embedded Apache Derby file DB usage (jdbc:derby:./data/bigbadmonolith)","replace-with-platform","File-based embedded DB unsuitable for multi-instance/cloud deployments and scaling.","Increased ops cost for managed RDBMS but gains availability, backups, and scale.","[rediscovery.md](rediscovery.md) - Integration Inventory: Embedded Derby"
"Startup sample-data injection (DataInitializationService.initializeSampleData)","retire","Useful for local dev but unsafe/noisy in production startup; risks seeding non-prod data.","Keep for dev/test only; ensure production disables it; maintain separate dev tooling.","[rediscovery.md](rediscovery.md) - Startup & Data Initialization"
"Joda-Time usage (DateTime, LocalDate)","replace-with-library","Joda-Time is legacy; `java.time` is standard in modern Java and better supported.","Refactor effort to convert types and persistence mapping; validate timezone/format differences.","[rediscovery.md](rediscovery.md) - Timestamps"
"System.out/System.err logging in startup & managers","replace-with-library","Unstructured console logging hinders observability; structured logging recommended.","Integrate SLF4J/logback; update logging config and deployments; minimal code changes.","[rediscovery.md](rediscovery.md) - Startup logging notes"
"Hard-coded dev credential and basicRegistry in server.xml (user1/password)","replace-with-platform","Secrets in config are unsafe for managed/cloud deployments; use secrets management or external identity.","Requires secrets management and potential auth flow changes; improves security.","[rediscovery.md](rediscovery.md) - Integration Inventory: server.xml"
"DB schema creation logic embedded in app (inline DDL in ConnectionManager/LibertyConnectionManager)","replace-with-library","Ad-hoc runtime DDL is brittle for repeatable migrations; use a migration tool (Flyway/Liquibase).","One-time migration to adopt tooling and remove inline DDL; better schema control.","[rediscovery.md](rediscovery.md) - Schema DDL in ConnectionManager/LibertyConnectionManager"
"Inconsistent numeric handling for financials (BigDecimal in services vs double in JSP/SQL)","replace-with-library","Inconsistent types cause rounding/precision risk in billing calculations.","Refactor reporting to use BigDecimal end-to-end; small API/query changes required.","[rediscovery.md](rediscovery.md) - Revenue calc"
"Per-DAO non-transactional operations (no explicit transaction manager)","replace-with-library","Multi-step operations lack transaction boundaries which can lead to partial updates.","Introduce transaction manager (JTA/Spring) and adjust DAO usage; increased testing and integration effort.","[rediscovery.md](rediscovery.md) - Open Questions: transactions"
"Filesystem-dependent Derby paths and ${server.output.dir}/${server.config.dir} assumptions","replace-with-platform","Filesystem-anchored assumptions are cloud-hostile (ephemeral instances, containers).","Move to platform-managed storage or managed DB; requires ops and config changes.","[rediscovery.md](rediscovery.md) - Integration Inventory: derby paths & server vars"
"Business logic duplicated in JSPs (report SQL + presentation) vs service logic","replace-with-library","Duplicated business logic causes divergence and maintenance burden; centralize in services.","Refactor to centralize business logic; reduces duplication but requires careful cutover and testing.","[rediscovery.md](rediscovery.md) - Revenue calc and JSPs"
"Derby library inclusion in server.xml (derbyLib fileset)","replace-with-platform","Bundling DB jars ties deployment to server layout; managed DBs remove the need to ship DB jars.","Adjust CI/CD and deployment artifacts; cleaner production deployments.","[rediscovery.md](rediscovery.md) - server.xml library config"
